,RAIZ,identificador,situação cadastral,data situacao,motivo situacao,data início atividade,cnae principal,logradouro,numero,bairro,cep,uf,municipio
9687,01644931,1,2,20051103,0,19970204,8219999,"15, QUADRA 52, LOTES 12 A 15,",S/N,SAO JOAO,75133200.0,GO,9221
9690,43202472,1,2,20051103,0,19711223,6550200,ANGELICA,2565,CONSOLACAO,1227200.0,SP,7107
9691,43296250,1,2,20051103,0,19720225,1811302,CONEGO SANGIRARDI,150,BAIRRO DO LIMAO,2723090.0,SP,7107
9692,43467273,1,2,20010512,0,19700120,4731800,FRANCISCO PRESTES MAIA,10,CENTRO,13900200.0,SP,6137
9695,43876960,1,2,20051103,0,19740301,2599399,JOSE BENASSI,2601,DISTRITO INDUSTRIAL FAZGRAN,13213085.0,SP,6619
9697,62351341,1,2,20051103,0,19690222,5811500,MARCOS PENTEADO DE ULHOA RODRIGUES,1119,TAMBORE,6460040.0,SP,6213
9701,07373434,1,2,20051103,0,19710407,8532500,WASHINGTON SOARES,1321,EDSON QUEIROZ,60811341.0,CE,1389
9702,81428187,1,2,20051103,0,19890703,2229303,SANTA CATARINA,50,CENTRO,86010470.0,PR,7667
9703,63062749,1,2,20051103,0,19710317,6612601,DR RENATO PAES DE BARROS,1017,ITAIM BIBI,4530001.0,SP,7107
9709,81546004,1,2,20040123,0,19890919,4789099,INDEPENDENCIA,190,CENTRO,89610000.0,SC,8131
9712,81639791,1,2,20031031,0,19660905,810006,JOAO PAULO REOLON,2105,SAO GABRIEL,84602000.0,PR,7937
9716,63411623,1,2,20051103,0,19910207,4511104,BR 101 - KM 92,S/N,PALESTINA,49160000.0,SE,3195
9718,45847365,1,2,20040724,0,19810528,6491300,MARIA DAS D L QUEIROZ,784,CENTRO,13140031.0,SP,6831
9720,63917579,1,2,20051103,0,19900712,6424702,PROFESSOR JOAO FIUSA,2604,JARDIM CANADA,14024260.0,SP,6969
9721,64181217,1,2,20050709,0,19900727,8640202,JOSE MARIA LISBOA,1163,JARDIM PAULISTA,1423001.0,SP,7107
9723,09007162,1,2,20051103,0,19841015,4644301,BARAO DE AMARAGI,743,PIEDADE,54400180.0,PE,2457
9726,09400227,1,2,20190404,0,19851206,892403,INDUSTRIAL DEHUEL VIEIRA DINIZ,S/N,SANTA JULIA,59623300.0,RN,1759
9727,09409822,1,2,20051103,0,19781128,810004,DA IMPRENSA CHANCELER EDSON QUEIROZ,S/N,DIONISIO TORRES,60135690.0,CE,1389
9733,48122295,1,2,20051103,0,19761110,2851800,PRESIDENTE DUTRA 2660,2660,PAVUNA,21535900.0,RJ,6001
9735,84498070,1,2,20041231,0,19931116,2930101,RAIMUNDO NONATO DE CASTRO,288,SANTO AGOSTINHO,69036790.0,AM,255
